#,                 ,     ,    ,              ,                 ,      East     ,    North     ,Elevation ,              x  ,             y ,              z
33,Tile122MWA       ,4.0,m   ,+116.40.25.3  ,-26.32.36.9      ,287.5136,617.2667,376.0028,-2559985.839491,5095790.169230,-2848673.023638
34,Tile123MWA       ,4.0,m   ,+116.40.23.5  ,-26.32.32.1      ,237.7601,767.4024,377.0921,-2559971.932365,5095873.331652,-2848539.191133
35,Tile124MWA       ,4.0,m   ,+116.40.23.2  ,-26.32.30.4      ,227.3284,818.7101,377.1792,-2559972.937221,5095898.573008,-2848493.327095
36,Tile125MWA       ,4.0,m   ,+116.40.17.1  ,-26.32.30.6      ,60.9140,814.2388,377.4158,-2559823.410905,5095971.687083,-2848497.433151
37,Tile126MWA       ,4.0,m   ,+116.40.12.8  ,-26.32.30.7      ,-59.3883,809.5164,376.5715,-2559714.609332,5096023.132302,-2848501.280762
38,Tile127MWA       ,4.0,m   ,+116.40.16.2  ,-26.32.26.2      ,34.6978,949.2164,378.0715,-2559827.319189,5096037.879646,-2848376.966263
39,Tile128MWA       ,4.0,m   ,+116.40.15.0  ,-26.32.11.2      ,0.4933,1411.3125,376.8075,-2559888.922349,5096236.731935,-2847962.970097
40,Tile131MWA       ,4.0,m   ,+116.40.45.3  ,-26.32.24.9      ,839.3070,989.2366,374.6615,-2560553.046315,5095689.869625,-2848339.637573
41,Tile132MWA       ,4.0,m   ,+116.40.57.5  ,-26.32.29.2      ,1176.6204,857.6782,373.7677,-2560827.725997,5095485.145538,-2848456.939388
42,Tile133MWA       ,4.0,m   ,+116.41.02.4  ,-26.32.39.0      ,1312.9552,552.4554,371.1711,-2560887.259717,5095299.965529,-2848728.847512
43,Tile134MWA       ,4.0,m   ,+116.40.35.0  ,-26.32.49.0      ,555.5574,243.5268,372.1396,-2560148.837787,5095517.479180,-2849005.657569
44,Tile135MWA       ,4.0,m   ,+116.40.35.6  ,-26.32.45.3      ,570.9701,358.2447,372.6801,-2560185.847189,5095556.806480,-2848903.269642
45,Tile136MWA       ,4.0,m   ,+116.40.32.6  ,-26.32.43.2      ,488.2906,424.0060,373.3122,-2560125.410614,5095620.696432,-2848844.720116
46,Tile137MWA       ,4.0,m   ,+116.40.34.0  ,-26.32.39.5      ,528.0233,538.2149,373.4533,-2560183.889494,5095648.579524,-2848742.607614
47,Tile138MWA       ,4.0,m   ,+116.40.28.7  ,-26.32.35.8      ,380.5056,651.8685,375.2213,-2560075.571743,5095761.612162,-2848641.717990
48,Tile141MWA       ,4.0,m   ,+116.40.54.7  ,-26.32.52.0      ,1100.3418,150.8517,368.7390,-2560615.693191,5095233.125981,-2849087.046501
49,Tile142MWA       ,4.0,m   ,+116.40.58.4  ,-26.33.11.3      ,1200.5813,-444.1109,366.4327,-2560584.910278,5094948.635052,-2849618.264733
50,Tile143MWA       ,4.0,m   ,+116.40.33.0  ,-26.33.05.5      ,498.0888,-265.5255,371.7018,-2559995.152929,5095339.608285,-2849460.861540
51,Tile144MWA       ,4.0,m   ,+116.40.25.8  ,-26.32.58.5      ,300.6550,-49.9068,373.6624,-2559862.781009,5095515.938905,-2849268.846990
52,Tile145MWA       ,4.0,m   ,+116.40.28.3  ,-26.32.58.2      ,370.1060,-39.3679,373.4163,-2559926.859922,5095488.772338,-2849259.308879
53,Tile146MWA       ,4.0,m   ,+116.40.34.6  ,-26.32.59.9      ,543.7747,-92.0913,371.7594,-2560070.806705,5095388.418751,-2849305.734601
